Code,State,Abbr
1,Alabama,AL
2,Alaska,AK
3,Arizona,AZ
4,Arkansas,AR
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,DC,CT
10,Florida,FL
11,Georgia,GA
12,Hawaii,HI
13,Idaho,ID
14,Illinois,IL
15,Indiana,IN
16,Iowa,IA
17,Kansas,KS
18,Kentucky,KY
19,Louisiana,LA
20,Maine,ME
21,Maryland,MD
22,Massachusetts,MA
23,Michigan,MI
24,Minnesota,MN
25,Mississippi,MS
26,Missouri,MO
27,Montana,MT
28,Nebraska,NE
29,Nevada,NV
30,NewHampshire,NY
31,NewJersey,NY
32,NewMexico,NY
33,NewYork,NY
34,NorthCarolina,ND
35,NorthDakota,ND
36,Ohio,OH
37,Oklahoma,OK
38,Oregon,OR
39,Pennsylvania,PA
40,RhodeIsland,RI
41,SouthCarolina,SD
42,SouthDakota,SD
43,Tennessee,TN
44,Texas,TX
45,Utah,UT
46,Vermont,VT
47,Virginia,VA
48,Washington,WA
49,WestVirginia,WV
50,Wisconsin,WI
51,Wyoming,WY
